"filename", "language", "Go", "Go Module File", "Go Checksum File", "SQL", "JSON", "Svelte", "JavaScript", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/home/nitroarch/kood/social-network/src/components/structure/footer.svelte", "Svelte", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"/home/nitroarch/kood/social-network/src/components/structure/header.svelte", "Svelte", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 7, 74
"/home/nitroarch/kood/social-network/src/components/structure/mainpage.svelte", "Svelte", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 4, 12, 76
"/home/nitroarch/kood/social-network/src/components/structure/mainwindow.svelte", "Svelte", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 1, 12, 88
"/home/nitroarch/kood/social-network/src/main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/home/nitroarch/kood/social-network/src/shared/button.svelte", "Svelte", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 9, 61
"/home/nitroarch/kood/social-network/src/shared/imagePreview.svelte", "Svelte", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 14, 112
"/home/nitroarch/kood/social-network/src/shared/matrix.svelte", "Svelte", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 15, 58
"/home/nitroarch/kood/social-network/src/stores.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 10, 31
"/home/nitroarch/kood/social-network/src/utils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/home/nitroarch/kood/social-network/src/websocket.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 8, 33
"Total", "-", 674, 17, 29, 193, 996, 1300, 185, 54, 14, 14, 116, 471, 4063
